X,Y
-120.6570316,47.5957958
-120.6572125,47.5959559
-120.6574412,47.5958223
-120.6572756,47.5956724
-120.6566513,47.5959861
-120.6566299,47.5959969
-120.6565896,47.5959336
-120.6568445,47.5960349
-120.6566942,47.5958758
-120.6567452,47.5960946
-120.3271235,47.3971063
-120.3279052,47.397109
-120.3275536,47.3971104
-120.3268422,47.3971145
-120.3272059,47.3971199
-120.3279635,47.3971254
-120.3275114,47.3971308
-120.3260485,47.3971335
-120.3272742,47.3971403
-120.3264865,47.3971417
-120.326577,47.3971607
-120.3279896,47.3971607
-120.3273164,47.3971743
-120.3274953,47.397177
-120.3266372,47.3971866
-120.3273365,47.3972274
-120.3266654,47.3972383
-120.3273406,47.397725199999996
-120.3268482,47.3977402
-120.3279876,47.3977402
-120.3272903,47.3977456
-120.3266734,47.3977946
-120.3279695,47.3977946
-120.3275214,47.3978449
-120.3266553,47.3978517
-120.3278871,47.3978599
-120.3275716,47.3978708
-120.3265127,47.3978735
-120.3260806,47.3978776
-120.3278208,47.3978776
-120.3276299,47.3978789
-120.326591,47.3979238
-120.3265127,47.3979265
-120.3265714,47.3981456
-120.3274557,47.3981456
-120.3278991,47.3981456
-120.3280368,47.3981456
-120.3267166,47.3981473
-120.3270225,47.3981473
-120.3271663,47.3981465
-120.3276035,47.398149
-120.3279934,47.3986372
-120.3279017,47.398639
-120.327527,47.3986407
-120.3267268,47.3986441
-120.3276111,47.3986441
-120.3266402,47.3986459
-120.3270865,47.3986478
-120.3271724,47.3986473
-120.327996,47.3986717
-120.327471,47.3986752
-120.3280419,47.3986752
-120.3265714,47.3986769
-120.3266376,47.3986769
-120.327527,47.3986769
-120.3270869,47.3986791
-120.3270289,47.3986794
-120.3266911,47.3988822
-120.3268721,47.3988822
-120.3262783,47.3988874
-120.326449,47.3988874
-120.3264567,47.3993825
-120.3266988,47.3993842
-120.3268695,47.3993842
-120.3262885,47.3993859
-119.0137634,48.7259013
-119.0138565,48.7259647
-119.0139485,48.7259119
-119.0138627,48.7258411
-119.8473405,47.2446742
-119.8474731,47.2446742
-119.8472907,47.2447292
-120.1718335,48.485773
-120.1716078,48.4858226
-120.1719265,48.4859592
-120.1717008,48.4860088
-120.1792048,48.4736785
-120.1798646,48.4740369
-120.1793669,48.4738399
-120.1795078,48.4738099
-120.1791077,48.473629
-120.1794496,48.4738733
-120.1799797,48.4739328
-120.1795682,48.4739194
-120.1792376,48.4738243
-120.1796265,48.4738574
-120.1797579,48.4739105
-120.179235,48.473704
-120.1793251,48.4737517
-120.1796698,48.4738725
-120.1794251,48.4737766
-120.1791186,48.4737528
-120.1796943,48.4739754
-120.179886,48.4738873
-120.1796061,48.4739374
-120.1794891,48.4738867
-120.1797709,48.4739914
-120.1790215,48.4737033
-120.1795474,48.4738247
-120.1791476,48.4737766
-120.1713855,48.4819572
-120.1712294,48.481958
-120.1713874,48.4821134
-120.1712313,48.4821143
-120.168251,48.4828714
-120.1681027,48.4829239
-120.1683104,48.4829451
-120.168162,48.4829976
-120.1468685,48.4623521
-120.1469672,48.4623688
-120.1469606,48.4623858
-120.1468512,48.462397
-120.1469499,48.4624137
-120.1592127,48.4699157
-120.1589993,48.4699913
-120.1593232,48.470053
-120.1591099,48.4701285
-120.1632313,48.4771822
-120.1631792,48.4771916
-120.1631163,48.477203
-120.1632626,48.4772582
-120.1631475,48.477279
-120.1748488,48.4811102
-120.1747105,48.481117
-120.1747148,48.4811562
-120.1748569,48.4811829
-120.1747185,48.4811897
-120.873917,47.2523184
-120.8738167,47.2523661
-120.8740674,47.2524546
-120.8739671,47.2525056
-120.8726132,47.2528358
-120.8728539,47.2528834
-120.8725781,47.2529413
-120.8727887,47.2529855
-120.8845073,47.2625827
-120.8846477,47.2625997
-120.8844972,47.2626337
-120.8846276,47.2626575
-120.8858025,47.2698651
-120.885887,47.2699077
-120.885735,47.2699267
-120.8858195,47.2699693
-120.8836466,47.2725672
-120.8837457,47.2725979
-120.8835991,47.2726377
-120.8836982,47.2726685
-120.8819572,47.2740955
-120.8822035,47.2741159
-120.8819321,47.2742345
-120.8821784,47.274255
-120.8822876,47.2747897
-120.8823704,47.2747958
-120.8822641,47.2749359
-120.8823469,47.274942
-120.9203919,47.2883827
-120.920223,47.2884312
-120.9204233,47.2884331
-120.9202544,47.2884815
-120.1814056,48.4766383
-120.1814556,48.4766722
-120.9055729,47.2696735
-120.9056191,47.2697163
-120.9054855,47.269717
-120.9055318,47.2697598
-120.9053747,47.269857
-120.9053003,47.2699023
-120.9054834,47.2699393
-120.9054091,47.2699846
-120.9061226,47.2701483
-120.9064179,47.270222
-120.9060532,47.2702763
-120.90634849999999,47.27035
-120.9093037,47.2707317
-120.90944,47.2707829
-120.9091987,47.2708603
-120.909335,47.2709115
-120.9074516,47.2711385
-120.9073505,47.2712027
-120.9075776,47.2712298
-120.9078488,47.2712891
-120.9074765,47.271294
-120.9076727,47.2713804
-120.9096879,47.2714099
-120.90799,47.2714145
-120.9095793,47.2714434
-120.9097514,47.2715046
