Lon,Lat,date
-120.123,48.198,714
-120.099,48.221,714
-120.099,48.221,714
-120.108,48.251,714
-119.997,48.184,715
-120.119,48.239,715
-120.813,47.73,715
-120.143,48.216,715
-120.011,48.233,715
-119.968,48.238,715
-120.078,48.254,715
-120.628,48.364,715
-120.839,47.716,715
-118.849,48.135,715
-120.134,48.186,715
-120.09,48.192,715
-120.096,48.212,715
-120.628,48.364,715
-120.077,48.457,715
-120.116,48.229,715
-120.102,48.231,715
-120.105,48.241,715
-120.09,48.243,715
-120.758,47.697,716
-120.819,47.698,716
-120.793,47.712,716
-120.088,48.182,716
-120.134,48.186,716
-119.985,48.196,716
-120.061,48.196,716
-120.073,48.235,716
-120.065,48.469,716
-120.546,48.345,716
-120.612,47.96,716
-120.577,47.945,716
-120.129,48.167,716
-120.099,48.171,716
-120.146,48.175,716
-120.056,48.176,716
-120.117,48.178,716
-120.105,48.19,716
-120.093,48.202,716
-120.603,47.931,716
-120.622,48.344,716
-119.336,47.873,716
-120.842,47.726,716
-120.816,47.739,716
-120.157,48.214,716
-120.128,48.217,716
-120.858,48.617,716
-119.315,47.906,716
-119.347,47.912,716
-119.349,47.922,716
-119.306,47.928,716
-120.035,48.209,716
-120.006,48.213,716
-120.178,48.231,716
-120.149,48.235,716
-120.105,48.241,716
-118.909,48.3,716
-120.645,48.372,716
-120.616,48.376,716
-120.133,48.49,716
-120.103,48.494,716
-120.074,48.498,716
-120.67,48.054,716
-120.778,47.663,716
-120.764,47.665,716
-120.813,47.679,716
-120.787,47.693,716
-120.621,48.04,716
-119.992,48.164,716
-119.977,48.166,716
-120.012,48.182,716
-120.601,48.327,716
-120.622,48.344,716
-120.08,48.416,716
-120.039,48.432,716
-120.103,48.444,716
-120.059,48.449,716
-119.283,47.9,716
-120.102,48.18,716
-120.088,48.182,716
-120.073,48.184,716
-120.105,48.19,716
-120.09,48.192,716
-120.076,48.194,716
-120.02,48.211,716
-120.157,48.214,716
-119.991,48.215,716
-120.067,48.215,716
-120.143,48.216,716
-120.128,48.217,716
-120.16,48.223,716
-120.146,48.225,716
-120.131,48.227,716
-120.149,48.235,716
-120.639,48.352,716
-120.625,48.354,716
-120.097,48.475,716
-120.083,48.477,716
-120.068,48.479,716
-120.102,48.18,717
-119.936,48.182,717
-120.674,47.617,717
-120.645,47.621,717
-120.712,47.642,717
-119.948,48.119,717
-120.009,48.122,717
-120.027,48.129,717
-119.907,48.135,717
-120.004,48.416,717
-120.039,48.432,717
-119.936,48.182,717
-120.706,47.673,717
-120.105,48.19,717
-120.743,47.648,717
-120.764,47.665,717
-120.749,47.667,717
-120.77,47.685,717
-120.741,47.689,717
-120.816,47.689,717
-120.801,47.691,717
-120.787,47.693,717
-120.79,47.702,717
-120.793,47.712,717
-120.603,48.032,717
-119.954,48.139,717
-120,48.143,717
-119.959,48.158,717
-120.006,48.162,717
-120.129,48.167,717
-120.07,48.174,717
-120.041,48.178,717
-120.012,48.182,717
-119.983,48.186,717
-120.134,48.186,717
-119.953,48.19,717
-120.029,48.19,717
-120.093,48.202,717
-120.155,48.204,717
-120.064,48.206,717
-120.157,48.214,717
-120.143,48.216,717
-120.575,48.341,717
-120.028,48.393,717
-120.068,48.428,717
-120.057,48.44,717
-120.045,48.451,717
-120.778,47.663,717
-120.764,47.665,717
-120.781,47.673,717
-120.767,47.675,717
-120.752,47.677,717
-120.738,47.679,717
-120.723,47.681,717
-120.784,47.683,717
-120.77,47.685,717
-120.755,47.687,717
-120.741,47.689,717
-120.801,47.691,717
-120.787,47.693,717
-120.773,47.695,717
-120.758,47.697,717
-120.804,47.7,717
-120.79,47.702,717
-120.776,47.704,717
-120.761,47.706,717
-120.747,47.708,717
-120.807,47.71,717
-120.793,47.712,717
-120.779,47.714,717
-120.764,47.716,717
-120.825,47.718,717
-120.81,47.72,717
-120.796,47.722,717
-120.781,47.724,717
-120.828,47.728,717
-120.813,47.73,717
-120.799,47.732,717
-120.606,48.042,717
-119.994,48.174,717
-120.07,48.174,717
-119.98,48.176,717
-120.056,48.176,717
-119.965,48.178,717
-120.041,48.178,717
-119.951,48.18,717
-119.997,48.184,717
-120.073,48.184,717
-119.983,48.186,717
-119.968,48.188,717
-120.044,48.188,717
-120.12,48.188,717
-120.105,48.19,717
-120.09,48.192,717
-120.166,48.192,717
-120,48.194,717
-120.076,48.194,717
-120.152,48.194,717
-119.985,48.196,717
-120.061,48.196,717
-119.971,48.197,717
-120.047,48.198,717
-120.123,48.198,717
-119.956,48.199,717
-120.079,48.204,717
-120.155,48.204,717
-119.988,48.205,717
-120.14,48.206,717
-119.974,48.207,717
-120.05,48.207,717
-120.02,48.211,717
-120.006,48.213,717
-120.157,48.214,717
-119.991,48.215,717
-120.067,48.215,717
-120.143,48.216,717
-119.976,48.217,717
-120.052,48.217,717
-120.038,48.219,717
-120.16,48.223,717
-120.146,48.225,717
-120.055,48.227,717
-120.131,48.227,717
-120.163,48.233,717
-120.149,48.235,717
-120.134,48.237,717
-120.151,48.245,717
-120.607,48.346,717
-120.593,48.348,717
-120.578,48.35,717
-120.61,48.356,717
-120.613,48.366,717
-120.013,48.395,717
-120.045,48.401,717
-120.031,48.402,717
-120.016,48.404,717
-120.063,48.408,717
-120.048,48.41,717
-120.019,48.414,717
-120.004,48.416,717
-120.036,48.422,717
-120.054,48.43,717
-120.039,48.432,717
-120.024,48.434,717
-120.086,48.436,717
-120.071,48.438,717
-120.057,48.44,717
-120.027,48.443,717
-120.089,48.446,717
-120.045,48.451,717
-120.03,48.453,717
-120.077,48.457,717
-120.048,48.461,717
-120.033,48.463,717
-120.095,48.465,717
-120.065,48.469,717
-120.051,48.471,717
-120.036,48.473,717
-120.097,48.475,717
-120.083,48.477,717
-120.068,48.479,717
-120.053,48.481,717
-120.086,48.486,717
-120.637,47.693,717
-120.669,47.699,717
-120.625,47.705,717
-120.657,47.71,717
-120.689,47.716,717
-120.646,47.722,717
-120.677,47.728,717
-120.695,47.736,717
-120.666,47.74,717
-120.683,47.747,717
-120.686,47.757,717
-120.718,47.763,717
-119.892,48.187,717
-119.863,48.191,717
-119.924,48.193,717
-119.88,48.199,717
-119.851,48.203,717
-119.927,48.203,717
-119.912,48.205,717
-119.869,48.211,717
-119.944,48.211,717
-119.839,48.214,717
-119.901,48.217,717
-119.976,48.217,717
-119.871,48.22,717
-119.947,48.221,717
-119.903,48.226,717
-119.965,48.229,717
-120.026,48.231,717
-119.86,48.232,717
-119.935,48.232,717
-119.997,48.235,717
-119.982,48.236,717
-119.892,48.238,717
-120.043,48.239,717
-119.862,48.242,717
-120.014,48.242,717
-119.924,48.244,717
-119.985,48.246,717
-120.046,48.248,717
-119.88,48.25,717
-119.956,48.25,717
-119.941,48.252,717
-119.927,48.254,717
-119.912,48.256,717
-120.064,48.256,717
-119.897,48.258,717
-119.973,48.258,717
-119.883,48.259,717
-120.035,48.26,717
-119.944,48.262,717
-120.052,48.268,717
-119.961,48.27,717
-120.037,48.27,717
-120.055,48.278,717
-120.087,48.284,717
-120.043,48.289,717
-120.482,48.384,717
-120.514,48.389,717
-120.484,48.393,717
-119.887,48.431,717
-119.904,48.439,717
-119.966,48.441,717
-119.875,48.443,717
-119.922,48.447,717
-119.907,48.449,717
-119.954,48.453,717
-119.957,48.463,717
-119.974,48.47,717
-119.945,48.474,717
-119.977,48.48,717
-119.995,48.488,717
-119.965,48.492,717
-119.939,48.505,717
-119.956,48.513,717
-120.778,47.663,717
-119.933,48.172,717
-119.965,48.178,717
-119.921,48.184,717
-120.044,48.188,717
-119.953,48.19,717
-119.924,48.193,717
-120,48.194,717
-119.971,48.197,717
-120.047,48.198,717
-119.956,48.199,717
-119.944,48.211,717
-119.93,48.213,717
-119.962,48.219,717
-120.038,48.219,717
-120.114,48.219,717
-119.933,48.223,717
-120.009,48.223,717
-119.918,48.225,717
-120.07,48.225,717
-120.146,48.225,717
-119.965,48.229,717
-120.116,48.229,717
-120.026,48.231,717
-119.997,48.235,717
-120.134,48.237,717
-119.953,48.24,717
-120.029,48.241,717
-119.985,48.246,717
-120.14,48.256,717
-120.584,48.37,717
-120.569,48.372,717
-120.555,48.374,717
-120.587,48.38,717
-119.972,48.41,717
-120.036,48.422,717
-119.963,48.431,717
-120.024,48.434,717
-119.995,48.437,717
-119.966,48.441,717
-120.042,48.441,717
-120.027,48.443,717
-120.059,48.449,717
-120.03,48.453,717
-120.048,48.461,717
-120.033,48.463,717
-120.004,48.467,717
-120.051,48.471,717
-120.036,48.473,717
-120.021,48.475,717
-120.053,48.481,717
-120.012,48.496,717
-120.059,48.135,717
-120.03,48.139,717
-120.015,48.141,717
-119.986,48.145,717
-119.971,48.147,717
-120.047,48.147,717
-120.064,48.155,717
-120.035,48.159,717
-120.021,48.161,717
-120.169,48.202,717
-119.99,48.367,717
-119.961,48.371,717
-120.022,48.373,717
-119.931,48.375,717
-119.981,48.389,717
-119.966,48.39,717
-119.998,48.396,717
-120.001,48.406,717
-120.095,48.414,717
-120.007,48.426,717
-120.083,48.426,717
-120.101,48.434,717
-120.813,47.679,717
-120.799,47.681,717
-120.831,47.737,717
-120.638,48.048,717
-120.624,48.05,717
-120.627,48.06,717
-120.596,48.358,717
-120.628,48.364,717
-120.645,48.372,717
-119.913,48.154,717
-119.884,48.158,717
-120.19,48.22,717
-120.192,48.229,717
-120.198,48.249,717
-120.172,48.262,717
-119.925,48.406,717
-120.047,48.512,717
-120.115,48.533,717
-120.804,47.65,718
-120.761,47.656,718
-120.703,47.664,718
-120.807,47.71,718
-120.519,48.003,718
-120.565,48.007,718
-119.998,48.032,718
-120.603,48.032,718
-119.908,48.033,718
-119.894,48.035,718
-119.969,48.036,718
-119.885,48.057,718
-120.036,48.057,718
-119.888,48.066,718
-120.039,48.067,718
-119.954,48.088,718
-120.001,48.092,718
-120.047,48.096,718
-120.007,48.112,718
-119.797,48.119,718
-120.071,48.124,718
-119.875,48.129,718
-119.817,48.136,718
-119.697,48.141,718
-120.076,48.143,718
-120.018,48.151,718
-120.079,48.153,718
-119.747,48.155,718
-119.884,48.158,718
-119.901,48.166,718
-119.706,48.171,718
-119.738,48.177,718
-119.799,48.179,718
-119.936,48.182,718
-119.953,48.19,718
-119.714,48.2,718
-120.146,48.225,718
-119.828,48.226,718
-119.798,48.23,718
-119.845,48.234,718
-119.725,48.239,718
-119.807,48.259,718
-119.853,48.263,718
-119.915,48.265,718
-119.751,48.276,718
-119.95,48.281,718
-119.789,48.302,718
-119.838,48.316,718
-119.99,48.316,718
-119.885,48.32,718
-119.961,48.32,718
-119.893,48.349,718
-119.899,48.369,718
-119.963,48.381,718
-120.095,48.414,718
-119.983,48.449,718
-120.03,48.453,718
-120.628,48.313,718
-119.883,47.945,718
-119.912,47.992,718
-120.833,47.696,718
-120.819,47.698,718
-119.753,48.124,718
-119.773,48.142,718
-120.108,48.149,718
-119.808,48.158,718
-119.779,48.161,718
-119.799,48.179,718
-119.784,48.181,718
-119.831,48.185,718
-119.682,48.194,718
-120.155,48.204,718
-119.807,48.208,718
-120.172,48.212,718
-119.985,48.297,718
-119.818,48.298,718
-119.85,48.304,718
-119.835,48.306,718
-120.005,48.315,718
-120.022,48.322,718
-120.057,48.338,718
-119.914,48.367,718
-119.961,48.371,718
-119.931,48.375,718
-119.969,48.4,718
-119.975,48.42,718
-119.978,48.43,718
-120.089,48.446,718
-120.092,48.455,718
-120.065,48.469,718
-120.013,48.03,718
-120.048,48.046,718
-120.071,48.073,718
-120.074,48.083,718
-120.091,48.091,718
-120.109,48.098,718
-119.842,48.224,718
-119.924,48.244,718
-119.894,48.248,718
-119.865,48.252,718
-120.014,48.293,718
-120.017,48.303,718
-120.161,48.173,718
-120.117,48.178,718
-120.088,48.182,718
-119.962,48.219,718
-120.055,48.227,718
-120.014,48.242,718
-120.124,48.461,718
-120.091,48.506,718
-120.6,48.023,718
-120.117,48.128,718
-120.126,48.157,718
-120.143,48.165,718
-120.181,48.19,718
-120.121,48.401,718
-120.115,48.432,718
-120.024,48.434,718
-120.092,48.455,718
-120.097,48.475,718
-120.103,48.494,718
-120.816,47.638,718
-120.772,47.644,718
-120.743,47.648,718
-120.79,47.652,718
-120.775,47.654,718
-120.746,47.658,718
-120.764,47.665,718
-120.848,47.694,718
-120.773,47.695,718
-120.79,47.702,718
-120.776,47.704,718
-120.825,47.718,718
-120.81,47.72,718
-119.921,47.971,718
-119.906,47.973,718
-119.952,47.977,718
-119.955,47.987,718
-119.943,47.998,718
-120.624,47.999,718
-120.609,48.001,718
-120.594,48.003,718
-120.615,48.021,718
-120.042,48.026,718
-120.028,48.028,718
-120.03,48.038,718
-120.016,48.04,718
-120.062,48.044,718
-120.033,48.047,718
-120.08,48.052,718
-120.065,48.053,718
-120.051,48.055,718
-120.083,48.061,718
-120.085,48.071,718
-120.088,48.081,718
-120.106,48.089,718
-120.123,48.097,718
-120.126,48.106,718
-120.111,48.108,718
-120.143,48.114,718
-120.129,48.116,718
-119.811,48.117,718
-120.114,48.118,718
-120.146,48.124,718
-120.132,48.126,718
-119.814,48.127,718
-120.149,48.134,718
-119.878,48.139,718
-120.152,48.143,718
-119.834,48.144,718
-120.137,48.145,718
-119.895,48.146,718
-119.881,48.148,718
-120.155,48.153,718
-119.837,48.154,718
-119.823,48.156,718
-119.898,48.156,718
-120.158,48.163,718
-119.933,48.172,718
-119.919,48.174,718
-120.207,48.177,718
-120.193,48.179,718
-119.921,48.184,718
-119.939,48.191,718
-120.061,48.196,718
-119.956,48.199,718
-119.851,48.203,718
-119.837,48.205,718
-120.064,48.206,718
-120.216,48.206,718
-119.974,48.207,718
-120.05,48.207,718
-119.959,48.209,718
-120.035,48.209,718
-120.02,48.211,718
-119.854,48.213,718
-120.082,48.213,718
-119.839,48.214,718
-120.067,48.215,718
-120.052,48.217,718
-120.038,48.219,718
-119.871,48.22,718
-120.023,48.221,718
-119.857,48.222,718
-120.084,48.223,718
-120.07,48.225,718
-119.874,48.23,718
-120.102,48.231,718
-119.86,48.232,718
-120.087,48.233,718
-119.892,48.238,718
-120.195,48.239,718
-119.877,48.24,718
-120.181,48.241,718
-119.862,48.242,718
-120.166,48.243,718
-119.927,48.254,718
-119.897,48.258,718
-120.02,48.262,718
-119.929,48.264,718
-120.005,48.264,718
-120.037,48.27,718
-120.023,48.272,718
-119.78,48.273,718
-120.008,48.274,718
-119.994,48.276,718
-119.979,48.277,718
-120.04,48.28,718
-120.026,48.282,718
-120.011,48.283,718
-119.996,48.285,718
-119.754,48.286,718
-119.982,48.287,718
-120.058,48.287,718
-119.739,48.288,718
-120.043,48.289,718
-119.725,48.29,718
-119.801,48.29,718
-120.028,48.291,718
-119.771,48.294,718
-119.757,48.296,718
-119.833,48.296,718
-120.061,48.297,718
-119.742,48.298,718
-120.046,48.299,718
-119.727,48.3,718
-119.803,48.3,718
-120.031,48.301,718
-119.774,48.304,718
-119.759,48.306,718
-120.063,48.307,718
-119.745,48.308,718
-119.821,48.308,718
-120.049,48.309,718
-119.791,48.312,718
-119.867,48.312,718
-119.777,48.314,718
-119.853,48.314,718
-119.762,48.315,718
-120.052,48.319,718
-120.616,48.325,718
-119.902,48.328,718
-120.087,48.334,718
-119.92,48.336,718
-119.905,48.338,718
-120.637,48.342,718
-120.622,48.344,718
-120.639,48.352,718
-120.092,48.354,718
-120.625,48.354,718
-119.928,48.365,718
-119.978,48.379,718
-119.949,48.383,718
-119.934,48.385,718
-120.072,48.387,718
-120.133,48.389,718
-119.966,48.39,718
-119.952,48.392,718
-119.987,48.408,718
-120.139,48.409,718
-119.972,48.41,718
-120.124,48.411,718
-119.989,48.418,718
-120.142,48.418,718
-120.127,48.42,718
-120.036,48.422,718
-120.112,48.422,718
-120.145,48.428,718
-120.13,48.43,718
-120.01,48.436,718
-120.027,48.443,718
-120.013,48.445,718
-120.015,48.455,718
-120.048,48.461,718
-120.141,48.469,718
-120.127,48.471,718
-120.083,48.477,718
-120.144,48.479,718
-120.13,48.481,718
-120.115,48.483,718
-120.121,48.502,718
-120.106,48.504,718
-120.124,48.512,718
-120.109,48.514,718
-120.749,47.667,718
-120.019,48.049,718
-120.004,48.051,718
-119.99,48.053,718
-120.021,48.059,718
-120.007,48.061,718
-119.992,48.063,718
-120.053,48.065,718
-120.039,48.067,718
-120.024,48.069,718
-120.056,48.075,718
-120.042,48.077,718
-120.1,48.12,718
-120.117,48.128,718
-120.135,48.136,718
-120.12,48.137,718
-120.105,48.139,718
-119.855,48.162,718
-119.84,48.164,718
-119.825,48.166,718
-119.811,48.167,718
-119.796,48.169,718
-119.843,48.173,718
-119.924,48.193,718
-119.91,48.195,718
-119.942,48.201,718
-119.927,48.203,718
-119.912,48.205,718
-119.944,48.211,718
-119.93,48.213,718
-120.041,48.229,718
-120.026,48.231,718
-120.073,48.235,718
-120.058,48.237,718
-120.076,48.245,718
-119.999,48.295,718
-119.73,48.309,718
-120.034,48.311,718
-119.748,48.317,718
-119.794,48.321,718
-119.78,48.323,718
-119.841,48.326,718
-119.826,48.327,718
-119.812,48.329,718
-119.94,48.404,718
-120.101,48.434,718
-119.998,48.447,718
-120.059,48.5,718
-120.097,48.525,718
-120.738,47.628,718
-120.723,47.63,718
-120.755,47.636,718
-120.741,47.638,718
-120.726,47.64,718
-120.712,47.642,718
-120.787,47.642,718
-120.758,47.646,718
-120.755,47.687,718
-120.83,47.687,718
-120.741,47.689,718
-120.793,47.712,718
-120.603,47.931,718
-119.935,47.969,718
-119.938,47.979,718
-119.923,47.981,718
-119.926,47.991,718
-120.01,48.02,718
-119.996,48.022,718
-120.586,48.025,718
-120.045,48.036,718
-120.001,48.042,718
-120.068,48.063,718
-120.094,48.1,718
-119.777,48.101,718
-119.8,48.128,718
-119.82,48.146,718
-120.175,48.171,718
-119.904,48.176,718
-120.163,48.182,718
-119.907,48.185,718
-120.032,48.2,718
-120.184,48.2,718
-120.017,48.202,718
-120.003,48.203,718
-119.822,48.207,718
-120.006,48.213,718
-119.848,48.244,718
-119.991,48.266,718
-119.976,48.268,718
-119.736,48.278,718
-119.964,48.279,718
-119.722,48.28,718
-119.707,48.282,718
-119.71,48.292,718
-119.87,48.322,718
-120.072,48.336,718
-119.911,48.357,718
-119.958,48.361,718
-119.943,48.363,718
-119.946,48.373,718
-119.917,48.377,718
-119.937,48.394,718
-119.954,48.402,718
-120.107,48.403,718
-120.004,48.416,718
-119.995,48.437,718
-119.98,48.439,718
-120.109,48.463,718
-120.095,48.465,718
-120.051,48.471,718
-120.112,48.473,718
-120.068,48.479,718
-120.1,48.485,718
-120.086,48.486,718
-120.071,48.488,718
-120.088,48.496,718
-120.077,48.508,718
-120.755,47.636,719
-119.866,48.15,719
-120.073,48.235,719
-120.049,48.309,719
-119.734,48.268,719
-119.817,48.136,719
-119.791,48.15,719
-119.71,48.292,719
-119.953,48.24,719
-119.988,48.256,719
-120.11,48.311,719
-120.057,48.338,719
-120.072,48.387,719
-119.903,47.963,719
-119.768,48.335,719
-120.155,48.153,719
-120.559,47.937,719
-119.935,47.969,719
-120.013,48.03,719
-119.998,48.032,719
-120.016,48.04,719
-120.019,48.049,719
-120.094,48.1,719
-120.111,48.108,719
-120.117,48.128,719
-120.098,48.424,719
-119.992,48.428,719
-119.995,48.437,719
-120.758,47.646,719
-120.729,47.65,719
-120.746,47.658,719
-119.938,47.979,719
-119.955,47.987,719
-119.998,48.032,719
-120.016,48.04,719
-120.033,48.047,719
-120.019,48.049,719
-120.004,48.051,719
-120.036,48.057,719
-120.021,48.059,719
-120.097,48.11,719
-120.114,48.118,719
-120.1,48.12,719
-120.755,47.687,719
-120.172,48.161,719
-120.193,48.179,719
-120.181,48.19,719
-120.181,48.241,719
-120.081,48.366,719
-120.083,48.375,719
-120.101,48.383,719
-120.121,48.401,719
-120.11,48.412,719
-120.044,48.188,719
-120.015,48.192,719
-120.02,48.211,719
-120.025,48.383,719
-120.758,47.646,719
-120.743,47.648,719
-120.729,47.65,719
-120.761,47.656,719
-120.761,47.706,719
-119.95,47.967,719
-119.935,47.969,719
-119.941,47.989,719
-119.926,47.991,719
-119.943,47.998,719
-119.946,48.008,719
-119.932,48.01,719
-120.01,48.02,719
-120.013,48.03,719
-120.016,48.04,719
-120.048,48.046,719
-120.036,48.057,719
-120.074,48.083,719
-120.746,47.658,720
-120.761,47.706,720
-120.825,47.718,720
-120.078,48.254,720
-120.052,48.268,720
-120.086,48.385,720
-120.163,48.182,720
-119.704,48.272,720
-119.712,48.352,720
-119.9,47.953,720
-119.947,47.957,720
-120.036,48.007,720
-120.01,48.02,720
-120.065,48.053,720
-120.111,48.108,720
-120.187,48.21,720
-120.029,48.241,720
-120.032,48.25,720
-119.73,48.309,720
-119.75,48.327,720
-119.706,48.333,720
-119.794,48.321,720
-119.984,48.398,720
-119.954,48.402,720
-120.08,48.052,720
-120.085,48.071,720
-120.141,48.104,720
-119.868,48.261,720
-119.858,48.333,720
-119.829,48.337,720
-120.645,48.372,720
-120.021,48.475,720
-120.126,48.522,720
-120.087,48.334,720
-120.122,48.35,720
-120.078,48.356,720
-119.869,48.423,720
-120.63,48.069,720
-120.216,48.206,720
-120.224,48.235,720
-120.189,48.27,720
-120.087,48.284,720
-119.905,48.338,720
-119.771,48.345,720
-119.995,48.437,720
-120.296,47.557,720
-120.615,48.021,720
-119.95,47.967,720
-120.074,48.032,720
-120.135,48.136,720
-120.146,48.175,720
-119.865,48.252,720
-119.903,48.277,720
-120.011,48.283,720
-120.118,48.492,720
-120.121,48.502,720
-119.924,48.193,720
-120.038,48.219,720
-119.828,48.226,720
-119.824,48.318,721
-120.02,48.262,721
-119.841,48.326,721
-119.826,48.327,721
-119.812,48.329,721
-119.797,48.331,721
-119.829,48.337,721
-119.8,48.341,721
-119.841,48.326,721
-119.824,48.318,721
-120.743,47.648,721
-120.764,47.716,721
-120.692,47.827,721
-120.58,48.005,721
-119.981,48.024,721
-120.042,48.026,721
-120.013,48.03,721
-119.998,48.032,721
-120.589,48.034,721
-120.048,48.046,721
-120.065,48.053,721
-120.059,48.085,721
-120.114,48.118,721
-120.126,48.157,721
-120.163,48.182,721
-119.991,48.215,721
-120.204,48.218,721
-120.19,48.22,721
-119.848,48.244,721
-120.151,48.245,721
-119.985,48.246,721
-120.002,48.254,721
