ISO3,Name,Year,Start Date,Event Name,Hazard Category,Hazard Type,New Displacements
#country+code,#country+name,#date+year,#date+start,#description,#crisis+category,#crisis+type,#affected+idps+ind+newdisp+disaster
USA,United States,2008,2008-12-09,,Weather related,Storm,20000
USA,United States,2008,2008-06-01,,Weather related,Flood,11000
USA,United States,2008,2008-01-09,,Weather related,Storm,1900000
USA,United States,2008,2008-11-13,,Weather related,Wildfire,50000
USA,United States,2008,2008-04-01,,Weather related,Storm,38000
USA,United States,2008,2008-11-12,,Weather related,Extreme temperature,
USA,United States,2008,2008-12-26,,Weather related,Flood,473
USA,United States,2008,2008-06-20,,Weather related,Wildfire,300
USA,United States,2009,2009-01-01,,Weather related,Storm,
USA,United States,2009,2009-01-01,,Weather related,Flood,
USA,United States,2009,2009-01-01,Hurricane Bill,Weather related,Storm,
USA,United States,2009,2009-01-01,,Weather related,Storm,
USA,United States,2009,2009-01-01,,Weather related,Storm,
USA,United States,2009,2009-01-01,,Weather related,Wildfire,234
USA,United States,2009,2009-01-01,,Weather related,Flood,
USA,United States,2009,2009-01-01,,Weather related,Storm,
USA,United States,2009,2009-01-01,,Weather related,Flood,
USA,United States,2009,2009-01-01,,Weather related,Flood,900
USA,United States,2009,2009-01-01,,Weather related,Wildfire,192
USA,United States,2010,2010-01-01,,Weather related,Storm,
USA,United States,2010,2010-01-01,,Weather related,Storm,
USA,United States,2010,2010-01-01,,Weather related,Storm,
USA,United States,2010,2010-01-01,,Weather related,Storm,
USA,United States,2010,2010-01-01,,Weather related,Storm,
USA,United States,2010,2010-01-01,Tropical storm Hermine,Weather related,Storm,
USA,United States,2010,2010-01-01,,Weather related,Flood,
USA,United States,2010,2010-01-01,Hurricane Earl,Weather related,Storm,
USA,United States,2010,2010-01-01,,Geophysical,Earthquake,
USA,United States,2010,2010-01-01,,Weather related,Storm,
USA,United States,2010,2010-01-01,,Weather related,Flood,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,Tropical storm 'Emily',Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,Hurricane Irene,Weather related,Storm,27154
USA,United States,2011,2011-01-01,Hurricane Irene,Weather related,Storm,771
USA,United States,2011,2011-01-01,,Weather related,Wildfire,1300
USA,United States,2011,2011-01-01,,Weather related,Extreme temperature,
USA,United States,2011,2011-01-01,Tropical Storm Lee,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Storm,
USA,United States,2011,2011-01-01,,Weather related,Flood,5000
USA,United States,2011,2011-01-01,,Weather related,Storm,15000
